p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,26,4,0,25
0.01,0.02,1,random,logistic_topr,34,5,0,33
0.01,0.02,1,random,logistic_topr,25,4,0,24
0.01,0.02,1,random,logistic_topr,19,1,0,18
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,62,1,0,61
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,47,4,0,46
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,63,1,0,62
0.01,0.02,1,random,logistic_topr,15,2,0,14
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,31,1,0,30
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,46,1,0,45
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,17,1,0,16
0.01,0.02,1,random,logistic_topr,35,5,0,34
0.01,0.02,1,random,logistic_topr,61,1,0,60
0.01,0.02,1,random,logistic_topr,36,4,0,35
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,27,5,0,26
0.01,0.02,1,random,logistic_topr,23,2,0,22
0.01,0.02,1,random,logistic_topr,62,4,0,61
0.01,0.02,1,random,logistic_topr,38,2,0,37
0.01,0.02,1,random,logistic_topr,30,3,0,29
0.01,0.02,1,random,logistic_topr,20,2,0,19
0.01,0.02,1,random,logistic_topr,41,2,0,40
0.01,0.02,1,random,logistic_topr,64,3,0,63
0.01,0.02,1,random,logistic_topr,41,4,0,40
0.01,0.02,1,random,logistic_topr,86,1,0,85
0.01,0.02,1,random,logistic_topr,50,3,0,49
