p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,thompson,logistic_topr,29,1,0,28
0.01,0.02,1,thompson,logistic_topr,60,3,0,59
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,49,2,0,48
0.01,0.02,1,thompson,logistic_topr,12,2,0,11
0.01,0.02,1,thompson,logistic_topr,11,2,0,10
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,36,1,0,35
0.01,0.02,1,thompson,logistic_topr,73,1,0,72
0.01,0.02,1,thompson,logistic_topr,25,2,0,24
0.01,0.02,1,thompson,logistic_topr,40,4,0,39
0.01,0.02,1,thompson,logistic_topr,23,1,0,22
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,41,2,0,40
0.01,0.02,1,thompson,logistic_topr,72,1,0,71
0.01,0.02,1,thompson,logistic_topr,18,5,0,17
0.01,0.02,1,thompson,logistic_topr,26,5,0,25
0.01,0.02,1,thompson,logistic_topr,20,3,0,19
0.01,0.02,1,thompson,logistic_topr,100,4,0,99
0.01,0.02,1,thompson,logistic_topr,48,2,0,47
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,18,1,0,17
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,53,2,0,52
0.01,0.02,1,thompson,logistic_topr,174,1,0,173
0.01,0.02,1,thompson,logistic_topr,51,1,0,50
0.01,0.02,1,thompson,logistic_topr,35,2,0,34
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,35,2,0,34
0.01,0.02,1,thompson,logistic_topr,17,1,0,16
0.01,0.02,1,thompson,logistic_topr,17,3,0,16
0.01,0.02,1,thompson,logistic_topr,67,2,0,66
0.01,0.02,1,thompson,logistic_topr,24,2,0,23
0.01,0.02,1,thompson,logistic_topr,15,3,0,14
0.01,0.02,1,thompson,logistic_topr,86,1,0,85
0.01,0.02,1,thompson,logistic_topr,70,1,0,69
0.01,0.02,1,thompson,logistic_topr,69,2,0,68
0.01,0.02,1,thompson,logistic_topr,19,1,0,18
0.01,0.02,1,thompson,logistic_topr,52,2,0,51
0.01,0.02,1,thompson,logistic_topr,26,2,0,25
0.01,0.02,1,thompson,logistic_topr,62,2,0,61
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,58,1,0,57
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
0.01,0.02,1,thompson,logistic_topr,65,4,0,64
0.01,0.02,1,thompson,logistic_topr,53,2,0,52
0.01,0.02,1,thompson,logistic_topr,15,1,0,14
0.01,0.02,1,thompson,logistic_topr,92,1,0,91
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,26,1,0,25
0.01,0.02,1,thompson,logistic_topr,19,2,0,18
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,30,2,0,29
0.01,0.02,1,thompson,logistic_topr,50,3,0,49
0.01,0.02,1,thompson,logistic_topr,66,1,0,65
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,36,2,0,35
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,27,1,0,26
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,91,2,0,90
0.01,0.02,1,thompson,logistic_topr,84,3,0,83
0.01,0.02,1,thompson,logistic_topr,133,1,0,132
0.01,0.02,1,thompson,logistic_topr,33,3,0,32
0.01,0.02,1,thompson,logistic_topr,66,1,0,65
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
