p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.02,0.01,50,evsi_clairvoyant,logistic_topr,42,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,19,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,56,1,0,6
0.02,0.01,50,evsi_clairvoyant,logistic_topr,78,2,0,28
0.02,0.01,50,evsi_clairvoyant,logistic_topr,20,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,30,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,15,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,35,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,82,1,0,32
0.02,0.01,50,evsi_clairvoyant,logistic_topr,93,1,0,43
0.02,0.01,50,evsi_clairvoyant,logistic_topr,23,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,46,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,72,1,0,22
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,95,3,0,45
0.02,0.01,50,evsi_clairvoyant,logistic_topr,18,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,62,3,0,12
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,55,3,0,5
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,43,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,59,1,0,9
0.02,0.01,50,evsi_clairvoyant,logistic_topr,19,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,49,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,46,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,81,1,0,31
0.02,0.01,50,evsi_clairvoyant,logistic_topr,32,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,53,2,0,3
0.02,0.01,50,evsi_clairvoyant,logistic_topr,71,1,0,21
0.02,0.01,50,evsi_clairvoyant,logistic_topr,31,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,93,1,0,43
0.02,0.01,50,evsi_clairvoyant,logistic_topr,54,1,0,4
0.02,0.01,50,evsi_clairvoyant,logistic_topr,90,1,0,40
0.02,0.01,50,evsi_clairvoyant,logistic_topr,20,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,39,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,18,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,37,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,3,1,0
